序号,附件名,中文标题,大小MB,下载链接
1,model-01.3dm,一种电镀园区重金属废水原水管控装置,150.5,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-01.3dm
2,model-02.3dm,一种高层建筑施工用升降料斗,127.5,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-02.3dm
3,model-03.3dm,一种建筑工程施工用筛沙装置,299.3,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-03.3dm
4,model-04.3dm,一种建筑绿化种植架,112.7,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-04.3dm
5,model-05.3dm,一种金属表面酸洗处理用干燥装置,246.0,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-05.3dm
6,model-06.3dm,一种汽车冷凝器护网,108.7,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-06.3dm
7,model-07.3dm,一种汽车用44PIN密封连接器,113.5,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-07.3dm
8,model-08.3dm,一种汽车装饰用的蜂窝板,160.2,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-08.3dm
9,model-09.3dm,一种巧克力浆液精磨混合机,161.8,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-09.3dm
10,model-10.3dm,一种生活污水生物除磷膜分离装置,188.7,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-10.3dm
11,model-11.3dm,一种天车的行走装置,333.5,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-11.3dm
12,model-12.3dm,一种用于采空区残矿探测的三维激光扫描与定位装置,227.0,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-12.3dm
13,model-13.3dm,一种圆弧板件开槽装置,166.0,https://github.com/tq9tjcnqyc-boop/patent-models/releases/download/large-models-v1/model-13.3dm
